Log created: 2021-12-26 10:57:23
Type: staging
[2021-12-26 11:04:08][notice]Start processing db.
[2021-12-26 11:04:08][notice]Prepare to copy database.
[2021-12-26 11:04:08][notice]Copying wp_mailpoet_scheduled_tasks is completed.
[2021-12-26 11:04:12][notice]Start processing db.
[2021-12-26 11:04:12][notice]Prepare to copy database.
[2021-12-26 11:04:12][notice]Copying wp_mailpoet_segments is completed.
[2021-12-26 11:04:16][notice]Start processing db.
[2021-12-26 11:04:16][notice]Prepare to copy database.
[2021-12-26 11:04:16][notice]Copying wp_mailpoet_sending_queues is completed.
[2021-12-26 11:04:21][notice]Start processing db.
[2021-12-26 11:04:21][notice]Prepare to copy database.
[2021-12-26 11:04:21][notice]Copying wp_mailpoet_settings is completed.
[2021-12-26 11:04:24][notice]Start processing db.
[2021-12-26 11:04:24][notice]Prepare to copy database.
[2021-12-26 11:04:24][notice]Copying wp_mailpoet_statistics_clicks is completed.
[2021-12-26 11:04:29][notice]Start processing db.
[2021-12-26 11:04:29][notice]Prepare to copy database.
[2021-12-26 11:04:29][notice]Copying wp_mailpoet_statistics_forms is completed.
[2021-12-26 11:04:33][notice]Start processing db.
[2021-12-26 11:04:33][notice]Prepare to copy database.
[2021-12-26 11:04:33][notice]Copying wp_mailpoet_statistics_newsletters is completed.
[2021-12-26 11:04:37][notice]Start processing db.
[2021-12-26 11:04:37][notice]Prepare to copy database.
[2021-12-26 11:04:37][notice]Copying wp_mailpoet_statistics_opens is completed.
[2021-12-26 11:04:41][notice]Start processing db.
[2021-12-26 11:04:41][notice]Prepare to copy database.
[2021-12-26 11:04:41][notice]Copying wp_mailpoet_statistics_unsubscribes is completed.
[2021-12-26 11:04:45][notice]Start processing db.
[2021-12-26 11:04:45][notice]Prepare to copy database.
[2021-12-26 11:04:45][notice]Copying wp_mailpoet_statistics_woocommerce_purchases is completed.
[2021-12-26 11:04:49][notice]Start processing db.
[2021-12-26 11:04:49][notice]Prepare to copy database.
[2021-12-26 11:04:49][notice]Copying wp_mailpoet_stats_notifications is completed.
[2021-12-26 11:04:53][notice]Start processing db.
[2021-12-26 11:04:53][notice]Prepare to copy database.
[2021-12-26 11:04:53][notice]Copying wp_mailpoet_subscriber_custom_field is completed.
[2021-12-26 11:04:57][notice]Start processing db.
[2021-12-26 11:04:57][notice]Prepare to copy database.
[2021-12-26 11:04:57][notice]Copying wp_mailpoet_subscriber_ips is completed.
[2021-12-26 11:05:01][notice]Start processing db.
[2021-12-26 11:05:01][notice]Prepare to copy database.
[2021-12-26 11:05:01][notice]Copying wp_mailpoet_subscriber_segment is completed.
[2021-12-26 11:05:05][notice]Start processing db.
[2021-12-26 11:05:05][notice]Prepare to copy database.
[2021-12-26 11:05:05][notice]Copying wp_mailpoet_subscribers is completed.
[2021-12-26 11:05:09][notice]Start processing db.
[2021-12-26 11:05:09][notice]Prepare to copy database.
[2021-12-26 11:05:09][notice]Copying wp_mailpoet_user_agents is completed.
[2021-12-26 11:05:13][notice]Start processing db.
[2021-12-26 11:05:13][notice]Prepare to copy database.
[2021-12-26 11:05:13][notice]Copying wp_mailpoet_user_flags is completed.
[2021-12-26 11:05:17][notice]Start processing db.
[2021-12-26 11:05:17][notice]Prepare to copy database.
[2021-12-26 11:05:17][notice]Copying wp_options is completed.
[2021-12-26 11:05:21][notice]Start processing db.
[2021-12-26 11:05:21][notice]Prepare to copy database.
[2021-12-26 11:05:23][notice]Copying 10000 queries is completed.
[2021-12-26 11:05:23][notice]The next copying table info: {"name":"wp_postmeta","create":1,"start":10000,"finished":0}
[2021-12-26 11:05:24][notice]Copying 10000 queries is completed.
[2021-12-26 11:05:24][notice]The next copying table info: {"name":"wp_postmeta","create":1,"start":20000,"finished":0}
[2021-12-26 11:05:24][notice]Copying wp_postmeta is completed.
[2021-12-26 11:05:28][notice]Start processing db.
[2021-12-26 11:05:28][notice]Prepare to copy database.
[2021-12-26 11:05:29][notice]Copying wp_posts is completed.
[2021-12-26 11:05:33][notice]Start processing db.
[2021-12-26 11:05:33][notice]Prepare to copy database.
[2021-12-26 11:05:33][notice]Copying wp_pv_commission is completed.
[2021-12-26 11:05:37][notice]Start processing db.
[2021-12-26 11:05:37][notice]Prepare to copy database.
[2021-12-26 11:05:37][notice]Copying wp_rank_math_internal_links is completed.
[2021-12-26 11:05:41][notice]Start processing db.
[2021-12-26 11:05:41][notice]Prepare to copy database.
[2021-12-26 11:05:41][notice]Copying wp_rank_math_internal_meta is completed.
[2021-12-26 11:05:45][notice]Start processing db.
[2021-12-26 11:05:45][notice]Prepare to copy database.
[2021-12-26 11:05:45][notice]Copying wp_revslider_css is completed.
[2021-12-26 11:05:49][notice]Start processing db.
[2021-12-26 11:05:49][notice]Prepare to copy database.
[2021-12-26 11:05:49][notice]Copying wp_revslider_css_bkp is completed.
[2021-12-26 11:05:53][notice]Start processing db.
[2021-12-26 11:05:53][notice]Prepare to copy database.
[2021-12-26 11:05:53][notice]Copying wp_revslider_layer_animations is completed.
[2021-12-26 11:05:57][notice]Start processing db.
[2021-12-26 11:05:57][notice]Prepare to copy database.
[2021-12-26 11:05:57][notice]Copying wp_revslider_layer_animations_bkp is completed.
[2021-12-26 11:06:01][notice]Start processing db.
[2021-12-26 11:06:01][notice]Prepare to copy database.
[2021-12-26 11:06:01][notice]Copying wp_revslider_navigations is completed.
[2021-12-26 11:06:05][notice]Start processing db.
[2021-12-26 11:06:05][notice]Prepare to copy database.
