Log created: 2022-01-14 12:12:23
Type: staging
[2022-01-14 12:23:06][notice]Copying wp_import_log_detail is completed.
[2022-01-14 12:23:10][notice]Start processing db.
[2022-01-14 12:23:10][notice]Prepare to copy database.
[2022-01-14 12:23:10][notice]Copying wp_import_postID is completed.
[2022-01-14 12:23:13][notice]Start processing db.
[2022-01-14 12:23:13][notice]Prepare to copy database.
[2022-01-14 12:23:13][notice]Copying wp_links is completed.
[2022-01-14 12:23:16][notice]Start processing db.
[2022-01-14 12:23:16][notice]Prepare to copy database.
[2022-01-14 12:23:16][notice]Copying wp_litespeed_url is completed.
[2022-01-14 12:23:19][notice]Start processing db.
[2022-01-14 12:23:19][notice]Prepare to copy database.
[2022-01-14 12:23:19][notice]Copying wp_litespeed_url_file is completed.
[2022-01-14 12:23:22][notice]Start processing db.
[2022-01-14 12:23:22][notice]Prepare to copy database.
[2022-01-14 12:23:22][notice]Copying wp_mailchimp_carts is completed.
[2022-01-14 12:23:26][notice]Start processing db.
[2022-01-14 12:23:26][notice]Prepare to copy database.
[2022-01-14 12:23:27][notice]Copying wp_mailchimp_jobs is completed.
[2022-01-14 12:23:30][notice]Start processing db.
[2022-01-14 12:23:30][notice]Prepare to copy database.
[2022-01-14 12:23:30][notice]Copying wp_mailpoet_custom_fields is completed.
[2022-01-14 12:23:33][notice]Start processing db.
[2022-01-14 12:23:33][notice]Prepare to copy database.
[2022-01-14 12:23:33][notice]Copying wp_mailpoet_dynamic_segment_filters is completed.
[2022-01-14 12:23:36][notice]Start processing db.
[2022-01-14 12:23:36][notice]Prepare to copy database.
[2022-01-14 12:23:36][notice]Copying wp_mailpoet_feature_flags is completed.
[2022-01-14 12:23:40][notice]Start processing db.
[2022-01-14 12:23:40][notice]Prepare to copy database.
[2022-01-14 12:23:40][notice]Copying wp_mailpoet_forms is completed.
[2022-01-14 12:23:45][notice]Start processing db.
[2022-01-14 12:23:45][notice]Prepare to copy database.
[2022-01-14 12:23:45][notice]Copying wp_mailpoet_log is completed.
[2022-01-14 12:23:49][notice]Start processing db.
[2022-01-14 12:23:49][notice]Prepare to copy database.
[2022-01-14 12:23:49][notice]Copying wp_mailpoet_mapping_to_external_entities is completed.
[2022-01-14 12:23:53][notice]Start processing db.
[2022-01-14 12:23:53][notice]Prepare to copy database.
[2022-01-14 12:23:53][notice]Copying wp_mailpoet_newsletter_links is completed.
[2022-01-14 12:23:57][notice]Start processing db.
[2022-01-14 12:23:57][notice]Prepare to copy database.
[2022-01-14 12:23:57][notice]Copying wp_mailpoet_newsletter_option is completed.
[2022-01-14 12:24:01][notice]Start processing db.
[2022-01-14 12:24:01][notice]Prepare to copy database.
[2022-01-14 12:24:01][notice]Copying wp_mailpoet_newsletter_option_fields is completed.
[2022-01-14 12:24:05][notice]Start processing db.
[2022-01-14 12:24:05][notice]Prepare to copy database.
[2022-01-14 12:24:05][notice]Copying wp_mailpoet_newsletter_posts is completed.
[2022-01-14 12:24:09][notice]Start processing db.
[2022-01-14 12:24:09][notice]Prepare to copy database.
[2022-01-14 12:24:09][notice]Copying wp_mailpoet_newsletter_segment is completed.
[2022-01-14 12:24:13][notice]Start processing db.
[2022-01-14 12:24:13][notice]Prepare to copy database.
[2022-01-14 12:24:13][notice]Copying wp_mailpoet_newsletter_templates is completed.
[2022-01-14 12:24:17][notice]Start processing db.
[2022-01-14 12:24:17][notice]Prepare to copy database.
[2022-01-14 12:24:17][notice]Copying wp_mailpoet_newsletters is completed.
[2022-01-14 12:24:21][notice]Start processing db.
[2022-01-14 12:24:21][notice]Prepare to copy database.
[2022-01-14 12:24:21][notice]Copying wp_mailpoet_scheduled_task_subscribers is completed.
[2022-01-14 12:24:25][notice]Start processing db.
[2022-01-14 12:24:25][notice]Prepare to copy database.
[2022-01-14 12:24:25][notice]Copying wp_mailpoet_scheduled_tasks is completed.
[2022-01-14 12:24:29][notice]Start processing db.
[2022-01-14 12:24:29][notice]Prepare to copy database.
[2022-01-14 12:24:29][notice]Copying wp_mailpoet_segments is completed.
[2022-01-14 12:24:33][notice]Start processing db.
[2022-01-14 12:24:33][notice]Prepare to copy database.
[2022-01-14 12:24:33][notice]Copying wp_mailpoet_sending_queues is completed.
[2022-01-14 12:24:37][notice]Start processing db.
[2022-01-14 12:24:37][notice]Prepare to copy database.
[2022-01-14 12:24:37][notice]Copying wp_mailpoet_settings is completed.
[2022-01-14 12:24:41][notice]Start processing db.
[2022-01-14 12:24:41][notice]Prepare to copy database.
[2022-01-14 12:24:41][notice]Copying wp_mailpoet_statistics_clicks is completed.
[2022-01-14 12:24:45][notice]Start processing db.
[2022-01-14 12:24:45][notice]Prepare to copy database.
[2022-01-14 12:24:45][notice]Copying wp_mailpoet_statistics_forms is completed.
[2022-01-14 12:24:49][notice]Start processing db.
[2022-01-14 12:24:49][notice]Prepare to copy database.
